,TaskID,Description,StudentName,Outputs
0,SIE2501-10,Import SYSMLV2 Files into Violet,Nora Whitfield,
1,SIE2501-16,Create a Verification Plan for the System,Felix Carrington,Rover_Verification_Strategy
2,SIE2501-17,Create a detailed Hardware design (CAD model) for System,Amelia Sterling,SIE250_CADModel
3,SIE2501-22,Construct Rover and all Hardware Components,Julian Porter,
4,SIE2501-23,Integrate all hardware and software to complete system architecture,Julian Porter,
5,SIE2501-24,Run Verification Tests according to Verification Plan,Julian Porter,
6,SIE2501-27,Complete mass analysis verification activity,Sophie Harrington,
7,SIE2501-3,Define System Requirements,Sophie Harrington,"Terrain Requirement, Trash Requirement, Autonomous Requirement, Remote Control Requirement, Cargo Requirement, Spinning Requirement, Mass Requirement"
8,SIE2501-4,Refine Stakeholder Needs,Sophie Harrington,
9,SIE2501-7,Create a System Architecture,Ethan Grayson,"ProvideRoverPropulsion, Group1_Rover"
10,SIE2501-9,Create and Assign Jira Tasks,Theo Prescott,
